accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,latitude,longitude,minimum_nights,number_of_reviews,d_centre,instant_bookable_f,instant_bookable_t,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
2,1.0,0.0,1,1,1.0,52.3644521741,4.9205736417,4,4,2.177027745079709,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3663444343,4.8662733540000005,2,4,2.6641781676088754,1,0,1,0,0
6,2.5,4.0,1,4,1.0,52.3700290617,4.8786422940000005,3,10,1.739300680839954,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3850699515,4.8749668807,3,3,1.783450333031846,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3599121906,4.8550026664,2,9,3.6980441589503843,1,0,0,1,0
2,1.5,1.0,1,1,3.0,52.3655795027,4.8919095173,2,155,1.596127666565843,1,0,0,1,0
2,1.0,0.0,2,1,2.0,52.3596586286,4.8954591932,2,4,2.1869815090097693,1,0,0,1,0
2,1.0,1.0,1,1,1.0,52.3501040565,5.0125490953,3,0,8.328539757152592,1,0,1,0,0
2,1.0,1.0,31,1,34.0,52.353502311,4.8855119531,2,0,3.006629427057122,0,1,1,0,0
2,1.0,1.0,1,1,1.0,52.3706062321,4.8933073366,2,0,1.0403109403592297,1,0,1,0,0
5,1.0,1.0,2,4,2.0,52.3829006417,4.9209806018,3,41,1.5188200158311684,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3595797782,4.854645729,3,16,3.7392266445695217,1,0,0,1,0
2,1.0,0.0,1,1,1.0,52.3754926054,4.8768184862,2,29,1.5880153919813207,1,0,1,0,0
4,1.0,1.0,1,2,1.0,52.3648824072,4.9054788009,3,31,1.6419171842519664,1,0,0,1,0
4,1.5,2.0,2,1,2.0,52.3577064427,4.9217355306,90,73,2.8265346815931767,1,0,1,0,0
3,1.0,2.0,1,2,1.0,52.3745128588,4.8822785268,2,10,1.2743482485692124,1,0,1,0,0
6,2.0,4.0,1,3,1.0,52.3682652554,4.866210864,4,14,2.5598704673708483,1,0,1,0,0
4,4.0,1.0,2,1,2.0,52.3826239699,4.8443193686,1,1,3.7577576477801062,1,0,1,0,0
2,1.0,1.0,1,1,2.0,52.3810194172,4.8552755039,1,96,3.002099295134938,1,0,0,1,0
2,1.0,1.0,3,1,3.0,52.3717549876,4.9006955938,2,47,0.8305481388178774,0,1,0,1,0
2,1.0,1.0,45,1,47.0,52.3635503017,4.9439750864,2,8,3.486196434750389,0,1,1,0,0
2,1.0,1.0,1,2,1.0,52.3820061316,4.8786496213,1,53,1.4439910203490858,1,0,1,0,0
2,1.0,1.0,1,2,2.0,52.3580775547,4.8589635208,2,19,3.611493116613813,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3650281038,4.853937981,1,16,3.4644942292695067,1,0,1,0,0
3,1.0,2.0,1,1,1.0,52.3479726976,4.92260176,3,7,3.80862123965208,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3718894267,4.9071608393,3,44,0.9659076945402206,1,0,0,1,0
3,1.0,1.0,1,2,1.0,52.3537043056,4.8588595897,3,24,3.9495317163053247,1,0,1,0,0
4,1.5,2.0,13,1,16.0,52.3414319798,4.9043072491,1,0,4.2087827054637055,1,0,1,0,0
4,1.0,2.0,1,2,1.0,52.3548248943,4.8849210409,1,6,2.8809187090401562,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3739211412,4.8961495175,2,29,0.626289588073828,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3627735088,4.8506463223,1,8,3.779287856220319,1,0,1,0,0
4,1.0,2.0,1,1,1.0,52.3705675198,4.9458202031,2,5,3.2896919312528095,1,0,1,0,0
4,1.0,3.0,1,1,1.0,52.3536586968,4.9387437275,2,19,3.8941747901135724,1,0,1,0,0
4,1.0,2.0,1,2,1.0,52.3489573161,4.8643319471,2,12,4.11812038573094,1,0,1,0,0
4,2.5,3.0,3,4,3.0,52.3739495647,4.8719336651,4,170,1.9541301813304544,1,0,1,0,0
3,1.0,2.0,1,2,1.0,52.3844827295,4.8797465022,21,0,1.459052346056447,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3711729638,4.9036530369,3,4,0.9356996127275429,1,0,1,0,0
4,1.5,3.0,1,1,1.0,52.3585511441,4.9211059754,3,5,2.724413849076483,1,0,1,0,0
2,1.0,0.0,1,1,1.0,52.3745183697,4.8905152629,1,7,0.7969947292657747,1,0,0,1,0
3,1.0,2.0,1,2,1.0,52.3437754438,4.8607578251,2,4,4.730165664935592,1,0,1,0,0
2,0.5,1.0,1,1,1.0,52.352402047,4.8569301435,1,3,4.1445885604182715,1,0,0,1,0
2,1.0,0.0,1,1,1.0,52.3705319401,4.8813238535,2,1,1.560276616953094,1,0,1,0,0
2,1.0,2.0,2,1,2.0,52.362490269,4.845140478,1,2,4.1244789871398275,1,0,1,0,0
2,1.0,0.0,1,2,1.0,52.3693510354,4.9228836234,3,84,1.9304652153048998,1,0,1,0,0
2,1.0,1.0,2,1,2.0,52.359485941,4.8692861491,1,14,2.9962047799333886,1,0,1,0,0
2,1.0,1.0,2,1,2.0,52.3441505003,4.8647021315,2,19,4.551354077788707,1,0,0,1,0
2,1.0,1.0,1,2,1.0,52.3868511558,4.9195737639,2,6,1.6098544307433191,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3509912524,4.89677208,1,21,3.138667956054423,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3746461066,4.8472775425,3,4,3.573816933689804,1,0,1,0,0
2,1.0,1.0,1,2,1.0,52.3480257155,4.8586676479,2,12,4.432158504932852,1,0,1,0,0
2,1.0,1.0,2,1,2.0,52.3719031052,4.9014777261999996,2,28,0.8214656229216203,1,0,0,1,0
3,1.0,1.0,1,1,1.0,52.3909838003,4.8758121043,3,1,2.0698326269183216,0,1,1,0,0
4,1.0,1.0,1,2,1.0,52.377744909,4.8860411152,3,15,0.9223769249516766,0,1,1,0,0
2,1.0,1.0,1,1,1.0,52.3604980805,4.8507157709,2,6,3.9036979219013253,1,0,0,1,0
3,1.0,1.0,1,2,1.0,52.37170239,4.8772884951,1,33,1.7171488863247089,1,0,1,0,0
4,1.0,3.0,1,1,1.0,52.369674449,4.9316534910000005,14,0,2.4282957963786154,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3771881352,4.8471946622,1,8,3.550471151204246,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3519309711,4.8879320516,1,27,3.1279333703334506,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3707520855,4.925242893,2,4,1.9862941893583475,1,0,1,0,0
4,2.0,3.0,1,1,1.0,52.3515222835,4.9954971644,2,26,7.207283126640836,1,0,1,0,0
4,1.5,4.0,1,2,1.0,52.3592622606,4.858501442,4,30,3.5518240390112674,1,0,1,0,0
4,1.5,2.0,1,4,2.0,52.4098015388,4.9241840637,4,11,3.793395163374711,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.378942804,4.8906019962,2,63,0.599536616945704,1,0,1,0,0
2,1.0,1.0,1,1,2.0,52.3633475788,4.9001021153,3,20,1.7609684926135685,1,0,0,1,0
2,1.0,1.0,1,1,1.0,52.3676874806,4.8672101952,2,12,2.5321926083781747,1,0,1,0,0
4,1.0,2.0,1,1,1.0,52.3649493902,4.8763300786,4,2,2.227177581938742,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.4017375688,4.9368877412,2,21,3.5680875236750054,1,0,1,0,0
8,1.0,4.0,2,1,2.0,52.3614426084,4.9086069551,2,4,2.068007130002723,1,0,0,1,0
2,1.0,1.0,1,1,1.0,52.3669345062,4.8664075688,2,3,2.62183235175788,1,0,0,1,0
2,1.0,1.0,2,1,2.0,52.3557928748,4.7959736838,2,81,7.485814467959217,1,0,0,1,0
6,2.0,4.0,1,2,1.0,52.3887859947,4.9561545083,3,0,3.9924615077701047,1,0,1,0,0
5,1.0,3.0,1,2,1.0,52.356942105,4.8701881177,3,49,3.169962515774582,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3738271977,4.8447736236,1,2,3.755444605038805,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3695130477,4.8526416641,2,10,3.351442664775576,1,0,1,0,0
4,1.0,2.0,1,1,1.0,52.3528250692,4.9106719549,3,13,3.027358775560012,1,0,1,0,0
4,1.0,2.0,1,2,1.0,52.3791479432,4.8746707796,2,50,1.6796022885100759,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3686799139,4.8732401898,2,20,2.126266014525399,1,0,1,0,0
4,1.0,2.0,1,1,1.0,52.3721467764,4.8682929998,3,12,2.2526945061433024,1,0,1,0,0
6,1.0,2.0,3,4,3.0,52.3750409634,4.8806416831,3,0,1.3554106570269093,0,1,1,0,0
4,1.0,2.0,1,4,1.0,52.3707099552,4.8723105991,3,6,2.06710924156149,1,0,1,0,0
8,1.5,4.0,1,4,1.0,52.42043138,4.8948101684,4,0,4.593760671005772,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3524339846,4.9040534971,5,1,2.9896534342147407,1,0,1,0,0
2,1.0,1.0,1,2,1.0,52.3660427189,4.8695461826,2,22,2.499003416096576,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3752234773,4.884012911,2,27,1.1349654910010838,1,0,0,1,0
3,1.0,1.0,1,2,1.0,52.3710722185,4.8985829296,3,8,0.9038113256752323,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3674942601,4.8681333231,3,0,2.489474526418557,0,1,1,0,0
2,1.0,1.0,1,1,1.0,52.3833732672,4.8720686579,2,7,1.9133784123269906,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3671736036,4.8746846566,3,0,2.1450962073807998,1,0,1,0,0
2,1.0,0.0,1,1,1.0,52.3688208687,4.8846979504,2,31,1.5252943625784097,1,0,0,1,0
2,1.0,1.0,1,1,1.0,52.3634522618,4.9460932334,1,1,3.6167452475002437,1,0,1,0,0
4,1.0,1.0,3,2,3.0,52.3812652,4.832434031,2,3,4.550446601655122,1,0,0,1,0
6,1.0,1.0,1,4,1.0,52.3818496022,4.8698192678000005,1,27,2.030277427411129,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3498765379,4.8494776169,1,1,4.701094186212962,0,1,0,1,0
4,1.5,1.0,25,1,25.0,52.3743043628,4.8983388347,2,1,0.5478390344519474,0,1,1,0,0
3,1.5,1.0,1,2,1.0,52.3773000573,4.8492793187,4,0,3.4085527249496947,0,1,1,0,0
2,1.0,1.0,1,1,1.0,52.3617154927,4.9341771947,2,2,3.0541720165153317,1,0,1,0,0
4,1.0,2.0,1,1,1.0,52.3691003071,4.8619416117,3,4,2.7794908276823542,1,0,1,0,0
4,1.0,1.0,1,2,1.0,52.3626640713,4.8905885463,2,12,1.9318505792968879,1,0,1,0,0
6,1.5,4.0,3,4,3.0,52.3814311562,4.8315263041000005,2,18,4.612892848165443,1,0,1,0,0
4,1.0,2.0,1,1,1.0,52.3704379127,4.8645674379,3,1,2.5573002611875943,1,0,1,0,0
4,1.0,1.0,1,2,1.0,52.3764473215,4.9436976136,1,0,3.0183095511496925,0,1,1,0,0
2,1.0,1.0,1,1,1.0,52.347345605,4.8464290055,2,20,5.045555326860219,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3704597902,4.8874218909,4,238,1.2667760910966792,1,0,0,1,0
2,1.0,0.0,1,1,1.0,52.3950678409,4.8799290695,1,0,2.205229084048053,0,1,1,0,0
2,1.0,1.0,1,1,1.0,52.3909410908,4.8838997371,4,7,1.6778536721210173,1,0,1,0,0
3,1.0,2.0,1,3,1.0,52.3608663339,4.9392527234,3,14,3.3831491735175145,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3545449341,4.9229305844999995,2,0,3.1689592267158484,1,0,1,0,0
2,1.0,1.0,1,1,1.0,52.3484486242,4.9139757264,3,35,3.5557514178037977,1,0,1,0,0
5,1.0,2.0,1,1,1.0,52.4140023646,4.8897385671,2,11,3.9240678275092633,1,0,1,0,0
3,1.0,1.0,3,2,3.0,52.3765609281,4.862254868,3,12,2.5387501701214066,0,1,0,1,0
4,1.0,1.0,1,2,1.0,52.3679749378,4.9237138726000005,2,23,2.065654823709861,1,0,1,0,0
4,1.5,2.0,1,1,1.0,52.3724802522,4.8932555687,2,30,0.8551580511185011,1,0,1,0,0
